step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
20,1,train,-0.3666666666666668,20,0,0.0,0.9987966666666667,,,,,,,
40,2,train,0.9666666666666666,20,0,0.0,0.99753,,,,,,,
60,3,train,0.5499999999999998,20,0,0.0,0.9962633333333333,,,,,,,
80,4,train,-0.2000000000000001,20,0,0.0,0.9949966666666666,,,,,,,
100,5,train,0.8,20,0,0.0,0.99373,,,,,,,
120,6,train,-0.11666666666666659,20,0,0.0,0.9924633333333334,,,,,,,
140,7,train,0.36666666666666664,20,0,0.0,0.9911966666666666,,,,,,,
160,8,train,0.06666666666666664,20,0,0.0,0.98993,,,,,,,
180,9,train,1.3000000000000005,20,0,0.0,0.9886633333333333,,,,,,,
200,10,train,-0.2166666666666667,20,0,0.0,0.9873966666666667,,,,,,,
220,11,train,0.38333333333333325,20,0,0.0,0.98613,,,,,,,
240,12,train,-0.11666666666666668,20,0,0.0,0.9848633333333333,,,,,,,
260,13,train,0.683333333333333,20,0,0.0,0.9835966666666667,,,,,,,
280,14,train,-0.33333333333333337,20,0,0.0,0.98233,,,,,,,
300,15,train,-0.21666666666666667,20,0,0.0,0.9810633333333333,,,,,,,
320,16,train,-0.11666666666666668,20,0,0.0,0.9797966666666666,,,,,,,
340,17,train,0.13333333333333328,20,0,0.0,0.97853,,,,,,,
360,18,train,-0.38333333333333336,20,0,0.0,0.9772633333333334,,,,,,,
380,19,train,-0.5000000000000001,20,0,0.0,0.9759966666666666,,,,,,,
400,20,train,0.08333333333333318,20,0,0.0,0.97473,,,,,,,
412,21,train,2.13,12,1,0.047619047619047616,0.97397,,,,,,,
415,22,train,2.22,3,1,0.09090909090909091,0.97378,,,,,,,
435,23,train,0.4833333333333332,20,0,0.08695652173913043,0.9725133333333333,,,,,,,
455,24,train,-0.16666666666666674,20,0,0.08333333333333333,0.9712466666666667,,,,,,,
475,25,train,0.38333333333333325,20,0,0.08,0.96998,,,,,,,
495,26,train,0.13333333333333344,20,0,0.07692307692307693,0.9687133333333333,,,,,,,
515,27,train,-0.016666666666666566,20,0,0.07407407407407407,0.9674466666666667,,,,,,,
535,28,train,0.38333333333333314,20,0,0.07142857142857142,0.96618,,,,,,,
555,29,train,-0.20000000000000018,20,0,0.06896551724137931,0.9649133333333333,,,,,,,
575,30,train,-0.5500000000000002,20,0,0.06666666666666667,0.9636466666666667,,,,,,,
595,31,train,0.3833333333333333,20,0,0.06451612903225806,0.96238,,,,,,,
615,32,train,-0.11666666666666674,20,0,0.0625,0.9611133333333334,,,,,,,
635,33,train,-0.03333333333333335,20,0,0.06060606060606061,0.9598466666666666,,,,,,,
655,34,train,0.09999999999999994,20,0,0.058823529411764705,0.95858,,,,,,,
675,35,train,0.38333333333333336,20,0,0.05714285714285714,0.9573133333333333,,,,,,,
695,36,train,0.9499999999999997,20,0,0.05555555555555555,0.9560466666666667,,,,,,,
715,37,train,-0.41666666666666674,20,0,0.05405405405405406,0.95478,,,,,,,
735,38,train,-0.11666666666666663,20,0,0.05263157894736842,0.9535133333333333,,,,,,,
755,39,train,2.7755575615628914e-17,20,0,0.05128205128205128,0.9522466666666667,,,,,,,
775,40,train,0.3333333333333334,20,0,0.05,0.95098,,,,,,,
795,41,train,-0.23333333333333345,20,0,0.04878048780487805,0.9497133333333333,,,,,,,
815,42,train,6.591949208711867e-17,20,0,0.047619047619047616,0.9484466666666667,,,,,,,
835,43,train,-0.1166666666666667,20,0,0.046511627906976744,0.94718,,,,,,,
855,44,train,0.55,20,0,0.045454545454545456,0.9459133333333334,,,,,,,
875,45,train,0.13333333333333336,20,0,0.044444444444444446,0.9446466666666666,,,,,,,
895,46,train,-0.16666666666666669,20,0,0.043478260869565216,0.94338,,,,,,,
915,47,train,0.21666666666666673,20,0,0.0425531914893617,0.9421133333333334,,,,,,,
935,48,train,0.26666666666666666,20,0,0.041666666666666664,0.9408466666666667,,,,,,,
955,49,train,-0.06666666666666672,20,0,0.04081632653061224,0.93958,,,,,,,
975,50,train,0.21666666666666673,20,0,0.04,0.9383133333333333,,,,,,,
995,51,train,-0.28333333333333344,20,0,0.0392156862745098,0.9370466666666667,,,,,,,
1015,52,train,0.38333333333333325,20,0,0.038461538461538464,0.9357800000000001,0.030234117060899734,,0.0036849272437393665,,,,
1035,53,train,0.13333333333333322,20,0,0.03773584905660377,0.9345133333333333,0.02249310538172722,,0.009860271587967873,,,,
1055,54,train,-0.19999999999999998,20,0,0.037037037037037035,0.9332466666666667,0.031916916370391846,,0.013410801067948341,,,,
1075,55,train,-0.5833333333333333,20,0,0.03636363636363636,0.93198,0.02214881032705307,,0.01875477284193039,,,,
1086,56,train,2.39,11,1,0.05357142857142857,0.9312833333333334,0.02119828760623932,,0.018753722310066223,,,,
1106,57,train,-0.5000000000000003,20,0,0.05263157894736842,0.9300166666666667,0.0844745934009552,,0.02185966446995735,,,,
1126,58,train,-0.08333333333333341,20,0,0.05172413793103448,0.92875,0.09191229939460754,,0.01934567093849182,,,,
1146,59,train,0.16666666666666663,20,0,0.05084745762711865,0.9274833333333333,0.018154587596654892,,0.01851353794336319,,,,
1162,60,train,2.123333333333333,16,1,0.06666666666666667,0.92647,0.014843475073575974,,0.022771261632442474,,,,
1182,61,train,0.15000000000000008,20,0,0.06557377049180328,0.9252033333333334,0.011614019051194191,,0.0196826234459877,,,,
1202,62,train,-0.08333333333333329,20,0,0.06451612903225806,0.9239366666666666,0.028495021164417267,,0.031096581369638443,,,,
1222,63,train,-0.11666666666666674,20,0,0.06349206349206349,0.92267,0.025137191638350487,,0.0923193097114563,,,,
1242,64,train,-0.3666666666666667,20,0,0.0625,0.9214033333333334,0.022585365921258926,,0.09099017828702927,,,,
