step,episode,kind,ep_return,ep_length,ep_success,rolling_success_100,epsilon,loss,q_mean,q_tot_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_length_mean
20,1,train,-0.6333333333333335,20,0,0.0,0.9987966666666667,,,,,,,
40,2,train,1.05,20,0,0.0,0.99753,,,,,,,
60,3,train,0.4666666666666665,20,0,0.0,0.9962633333333333,,,,,,,
80,4,train,-0.3666666666666668,20,0,0.0,0.9949966666666666,,,,,,,
100,5,train,0.26666666666666666,20,0,0.0,0.99373,,,,,,,
120,6,train,-0.050000000000000246,20,0,0.0,0.9924633333333334,,,,,,,
140,7,train,-0.45,20,0,0.0,0.9911966666666666,,,,,,,
160,8,train,0.5,20,0,0.0,0.98993,,,,,,,
180,9,train,-0.25000000000000006,20,0,0.0,0.9886633333333333,,,,,,,
200,10,train,0.3833333333333332,20,0,0.0,0.9873966666666667,,,,,,,
220,11,train,0.13333333333333341,20,0,0.0,0.98613,,,,,,,
240,12,train,0.4666666666666665,20,0,0.0,0.9848633333333333,,,,,,,
260,13,train,-0.6666666666666667,20,0,0.0,0.9835966666666667,,,,,,,
280,14,train,-0.6833333333333333,20,0,0.0,0.98233,,,,,,,
300,15,train,0.18333333333333324,20,0,0.0,0.9810633333333333,,,,,,,
305,16,train,2.533333333333333,5,1,0.0625,0.9807466666666667,,,,,,,
325,17,train,-0.33333333333333337,20,0,0.058823529411764705,0.97948,,,,,,,
345,18,train,0.6333333333333334,20,0,0.05555555555555555,0.9782133333333334,,,,,,,
365,19,train,0.46666666666666656,20,0,0.05263157894736842,0.9769466666666666,,,,,,,
384,20,train,1.9933333333333332,19,1,0.1,0.9757433333333333,,,,,,,
404,21,train,0.2499999999999999,20,0,0.09523809523809523,0.9744766666666667,,,,,,,
424,22,train,-0.050000000000000044,20,0,0.09090909090909091,0.97321,,,,,,,
444,23,train,0.1333333333333333,20,0,0.08695652173913043,0.9719433333333334,,,,,,,
464,24,train,1.05,20,0,0.08333333333333333,0.9706766666666666,,,,,,,
484,25,train,0.5833333333333334,20,0,0.08,0.96941,,,,,,,
504,26,train,0.13333333333333322,20,0,0.07692307692307693,0.9681433333333334,,,,,,,
524,27,train,-2.7755575615628914e-17,20,0,0.07407407407407407,0.9668766666666667,,,,,,,
544,28,train,-0.1166666666666667,20,0,0.07142857142857142,0.96561,,,,,,,
564,29,train,0.46666666666666673,20,0,0.06896551724137931,0.9643433333333333,,,,,,,
584,30,train,0.4666666666666667,20,0,0.06666666666666667,0.9630766666666667,,,,,,,
604,31,train,-2.7755575615628914e-17,20,0,0.06451612903225806,0.96181,,,,,,,
624,32,train,0.5833333333333335,20,0,0.0625,0.9605433333333333,,,,,,,
644,33,train,0.3833333333333332,20,0,0.06060606060606061,0.9592766666666667,,,,,,,
664,34,train,0.55,20,0,0.058823529411764705,0.95801,,,,,,,
684,35,train,-0.03333333333333344,20,0,0.05714285714285714,0.9567433333333333,,,,,,,
704,36,train,0.4166666666666666,20,0,0.05555555555555555,0.9554766666666666,,,,,,,
724,37,train,0.36666666666666664,20,0,0.05405405405405406,0.95421,,,,,,,
744,38,train,0.06666666666666655,20,0,0.05263157894736842,0.9529433333333334,,,,,,,
764,39,train,0.46666666666666684,20,0,0.05128205128205128,0.9516766666666667,,,,,,,
784,40,train,0.3833333333333333,20,0,0.05,0.95041,,,,,,,
804,41,train,0.1333333333333333,20,0,0.04878048780487805,0.9491433333333333,,,,,,,
824,42,train,-0.28333333333333327,20,0,0.047619047619047616,0.9478766666666667,,,,,,,
844,43,train,0.14999999999999997,20,0,0.046511627906976744,0.94661,,,,,,,
864,44,train,0.5499999999999999,20,0,0.045454545454545456,0.9453433333333333,,,,,,,
884,45,train,0.4166666666666666,20,0,0.044444444444444446,0.9440766666666667,,,,,,,
904,46,train,0.3666666666666667,20,0,0.043478260869565216,0.94281,,,,,,,
924,47,train,-0.25,20,0,0.0425531914893617,0.9415433333333333,,,,,,,
944,48,train,-0.1833333333333334,20,0,0.041666666666666664,0.9402766666666666,,,,,,,
964,49,train,-0.38333333333333336,20,0,0.04081632653061224,0.93901,,,,,,,
984,50,train,0.4999999999999999,20,0,0.04,0.9377433333333334,,,,,,,
1004,51,train,-0.11666666666666668,20,0,0.0392156862745098,0.9364766666666666,0.02632332034409046,,-0.016053590923547745,,,,
1024,52,train,-0.5333333333333333,20,0,0.038461538461538464,0.93521,0.014520392753183842,,-0.011201456189155579,,,,
1044,53,train,0.8333333333333333,20,0,0.03773584905660377,0.9339433333333333,0.024320734664797783,,-0.008376756682991982,,,,
1064,54,train,0.38333333333333325,20,0,0.037037037037037035,0.9326766666666667,0.026799127459526062,,-0.008610069751739502,,,,
1084,55,train,-0.45000000000000023,20,0,0.03636363636363636,0.93141,0.0333004966378212,,-0.008319786749780178,,,,
1104,56,train,1.1666666666666667,20,0,0.03571428571428571,0.9301433333333333,0.027129273861646652,,-0.009283285588026047,,,,
1124,57,train,0.8833333333333334,20,0,0.03508771929824561,0.9288766666666667,0.0188981331884861,,-0.001440574647858739,,,,
1144,58,train,0.6333333333333333,20,0,0.034482758620689655,0.92761,0.026406006887555122,,0.007363214157521725,,,,
1164,59,train,0.23333333333333334,20,0,0.03389830508474576,0.9263433333333333,0.017727116122841835,,-0.005924045108258724,,,,
1184,60,train,0.9500000000000002,20,0,0.03333333333333333,0.9250766666666667,0.014472589828073978,,0.006553509272634983,,,,
1204,61,train,-0.016666666666666774,20,0,0.03278688524590164,0.92381,0.025495240464806557,,0.02962234616279602,,,,
1224,62,train,0.44999999999999996,20,0,0.03225806451612903,0.9225433333333334,0.01813920959830284,,0.154107928276062,,,,
1244,63,train,0.9999999999999997,20,0,0.031746031746031744,0.9212766666666666,0.02838216722011566,,0.11564189940690994,,,,
1264,64,train,0.13333333333333333,20,0,0.03125,0.92001,0.0584796667098999,,0.1506277620792389,,,,
1284,65,train,0.13333333333333322,20,0,0.03076923076923077,0.9187433333333334,0.01251901127398014,,0.12934881448745728,,,,
1304,66,train,-0.3166666666666667,20,0,0.030303030303030304,0.9174766666666667,0.015585825778543949,,0.13370880484580994,,,,
1320,67,train,2.4233333333333333,16,1,0.04477611940298507,0.9164633333333333,0.020700890570878983,,0.1136593222618103,,,,
1340,68,train,-0.08333333333333334,20,0,0.04411764705882353,0.9151966666666667,0.012645876035094261,,0.12377455830574036,,,,
